id,name,type,ordered,laid_down,commissioned,launched,fate,fate_type,fate_survivors,fate_lat,fat_lon,fate_dead,shipyard,ships_sunk
83,U-83,VIIB,6/9/1938,10/5/1939,2/8/1941,12/9/1940,3/4/1943,Sunk,0,37.10,0.05,50,"Flender Werke AG, Lubeck",5
84,U-84,VIIB,6/9/1938,11/9/1939,4/29/1941,2/26/1941,8/7/1943,Sunk,0,27.55,-68.30,46,"Flender Werke AG, Lubeck",6
85,U-85,VIIB,6/9/1938,12/18/1939,6/7/1941,4/10/1941,4/14/1942,Sunk,0,35.55,-75.13,46,"Flender Werke AG, Lubeck",3
86,U-86,VIIB,6/9/1938,1/20/1940,7/8/1941,5/10/1941,11/29/1943,Sunk,0,40.42,-18.54,50,"Flender Werke AG, Lubeck",3
87,U-87,VIIB,6/9/1938,4/18/1940,8/19/1941,6/21/1941,3/4/1943,Sunk,0,41.36,-13.31,49,"Flender Werke AG, Lubeck",5
88,U-88,VIIC,1/25/1939,7/1/1940,10/15/1941,8/16/1941,9/12/1942,Sunk,0,75.04,4.49,46,"Flender Werke AG, Lubeck",2
89,U-89,VIIC,1/25/1939,8/20/1940,11/19/1941,9/20/1941,5/12/1943,Sunk,0,46.30,-25.40,48,"Flender Werke AG, Lubeck",4
90,U-90,VIIC,1/25/1939,10/1/1940,12/20/1941,10/25/1941,7/24/1942,Sunk,0,48.12,-40.56,44,"Flender Werke AG, Lubeck",0
91,U-91,VIIC,1/25/1939,11/12/1940,1/28/1942,11/30/1941,2/26/1944,Sunk,16,49.45,-26.20,36,"Flender Werke AG, Lubeck",4
92,U-92,VIIC,1/25/1939,11/25/1940,3/3/1942,1/10/1942,10/12/1944,Decommissioned,0,,,0,"Flender Werke AG, Lubeck",2
93,U-93,VIIC,5/30/1938,9/9/1939,7/30/1940,6/8/1940,1/15/1942,Sunk,40,36.40,-15.52,6,"F. Krupp Germaniawerft AG, Kiel",8
94,U-94,VIIC,5/30/1938,9/9/1939,8/10/1940,6/12/1940,8/28/1942,Sunk,26,17.40,-74.30,19,"F. Krupp Germaniawerft AG, Kiel",26
95,U-95,VIIC,5/30/1938,9/16/1939,8/31/1940,7/18/1940,11/28/1941,Sunk,12,36.24,-3.20,35,"F. Krupp Germaniawerft AG, Kiel",8
96,U-96,VIIC,5/30/1938,9/16/1939,9/14/1940,8/1/1940,2/15/1945,Decommissioned,0,,,0,"F. Krupp Germaniawerft AG, Kiel",27
97,U-97,VIIC,5/30/1938,9/27/1939,9/28/1940,8/15/1940,6/16/1943,Sunk,21,33.00,34.00,27,"F. Krupp Germaniawerft AG, Kiel",15
